question_id,date_utc,question,why_now,candidate_options,selected_option,selection_reason,evidence_needed,result,next_question,status
"Q20260629-20","2026-06-29","How should we handle the Degnonguidi preflight v5 loaded-trainer contract failure?","Version 5 fixed nested koolbox module paths and loaded the first trainer, but CVTrainer.predict expected models_ while the unpickled object lacks that attribute.","block Degnonguidi now | port inference core only | add model-list alias compatibility | train from scratch","add model-list alias compatibility","The failure occurs at prediction after successful artifact loading, so a small compatibility layer for common model-list attributes is still a reasonable no-submit preflight patch. If this exposes deeper object-contract failures, the next decision should be port/block rather than endless patching.","v5 log, source audit after patch, Kaggle v6 status","Downloaded v5 log; first artifact trainer loaded with overall RMSE 10.7668, then predict failed with AttributeError: 'CVTrainer' object has no attribute 'models_'. Patched CVTrainer.predict to use models/models_/estimators/fold_models aliases and print available attributes if absent; source audit PASS; pushed version 6; v6 status RUNNING.","Poll v6; if it fails on another object contract issue, decide between inference-core port and blocking Degnonguidi.","open"
"Q20260629-21","2026-06-29","Is the plateau_recent_quantile local win stable enough to justify a near-term official submission?","The candidate beat last_value in the default pseudo-test run and passed output audit, but submitting before pending anchors resolve needs stronger evidence than one parameter setting.","submit default now | run parameter-stability sweep | wait for public scores only | broaden into a complex fitted model","run parameter-stability sweep and keep candidate on hold","A nearby-parameter sweep tests whether the local win is structural without consuming official submissions or fitting to public LB. It is safer than immediate submission and more informative than waiting idle.","sweep summary, default rank, beat rate, split-level win/fallback profile","Added scripts/plateau_quantile_sweep.py and generated experiments/plateau_quantile_sweep.csv, experiments/plateau_quantile_sweep_split_scores.csv, and reports/plateau_quantile_sweep_report.md. Result: 36 combos tested; 10 beat last_value weighted RMSE; default combo rank 1 with weighted RMSE 14.564 vs 14.764, but win_rate 0.133 and fallback_rate 0.800.","Keep plateau_recent_quantile_v1 as a sparse information-slot candidate; do not spend a slot until pending 54174151/54174876 scores resolve or stronger validation appears.","complete"
"Q20260629-22","2026-06-29","Can the Baidalin 7.201 reference be made source-audit safe enough for no-submit preflight?","B08 was blocked by hardcoded visible-well demo code and unsafe train/test row copy, while pending external scores left room for independent reference prep.","leave blocked | patch only demo hardcode | patch demo plus ID parsing and MD-aligned train/test guards | run as-is despite audit fail","patch demo plus ID parsing and MD-aligned train/test guards","The failures are localized source-compatibility issues. Fixing them and rerunning source audit is a lower-risk path than abandoning a 7.201 reference or running an audit-failed notebook.","source audit PASS, metadata under joezzzzz, Kaggle kernel status","Patched kaggle_kernel_baidalin7201_v2/rogii-lb-7-201.ipynb: removed hardcoded demo well, changed fixed-width id slicing to rsplit('_', 1), replaced train/test TVT_input row copy with MD-aligned interpolation, and aligned physical-model predictions by MD with selector fallback. Source audit PASS with zero warnings. Pushed joezzzzz/rogii-baidalin-7-201-preflight-codex version 1; status RUNNING.","Poll Baidalin v1; if COMPLETE, download output and run deep pre-submit/distance audit before any official submission decision.","complete"
"Q20260629-23","2026-06-29","How should running Kaggle kernel statuses stay synced while multiple preflights are active?","Degnonguidi v6 and Baidalin v1 are both running, and manual ledger edits are easy to miss during repeated polling.","manual status checks only | reusable kernel ledger sync script | wait until kernels complete | use submission ledger script for kernels too","reusable kernel ledger sync script with dry-run default","Kernel runs and official submissions have different Kaggle APIs and different ledgers. A small dry-run-first sync script makes polling repeatable without accidentally overwriting run records.","py_compile, dry-run against current running kernels, CSV validation","Added scripts/sync_kernel_ledger.py. Dry-run checked Degnonguidi v6 and Baidalin v1; both remote statuses remained RUNNING; no updates or errors. The script can apply terminal status updates only when --apply is explicitly provided.","Use sync_kernel_ledger.py at the beginning of every polling pass, then download/audit outputs for rows that become COMPLETE.","complete"
"Q20260629-24","2026-06-29","How should completed kernel outputs be downloaded and audited consistently before any official submission?","The current running preflights will need the same output download, submission.csv discovery, deep audit, and reference-distance checks once they complete.","manual kaggle output plus manual audit | wrapper that downloads/reuses output and runs pre_submit_audit | wait for public score only | submit directly from kernel","wrapper that downloads/reuses output and runs pre_submit_audit","A wrapper reduces operational mistakes and ensures every completed kernel goes through the same data-dir shape checks and reference-registry distance checks before any official submission decision.","py_compile, baseline artifact dry-run with --skip-download, audit JSON summary","Added scripts/audit_kernel_output.py. Validated it on artifacts/lucifer_baseline_repro_joezzzzz_v1 with --skip-download; audit_status PASS, rows 14151, sha256 fdf4a8175b6ec6a70c9b78fd6916ac3c317e43f7e9c08bbca87cd02314801ca9, risk_status WARN only for missing optional historical references.","Use audit_kernel_output.py immediately when Degnonguidi v6 or Baidalin v1 reaches COMPLETE.","complete"
"Q20260629-25","2026-06-29","What should decide the next official batch while multiple scores and reference kernels are pending?","Candidate decision report marks several local files as SUBMIT_CANDIDATE, but it does not include pending official submissions, running reference kernels, plateau stability, or duplicate learned-signal submissions.","use candidate_decision_report alone | build combined next-batch readiness report | manually inspect every CSV | submit the highest surrogate candidate now","build combined next-batch readiness report","A combined report prevents spending a slot on candidates already represented by pending submissions or on candidates whose interpretation depends on running reference kernels.","readiness CSV/report, pending score count, running kernel count, candidate status counts","Added scripts/next_batch_readiness_report.py and generated experiments/next_batch_readiness.csv plus reports/next_batch_readiness_report.md. Current summary: 2 pending official submissions, 2 running kernels, 0 ready-after-audit candidates without context blockers; fleongg equivalents WAIT_OFFICIAL_SCORE, projection branches HOLD_PENDING_CONTEXT, plateau HOLD_INFORMATION_SLOT.","Use the readiness report after every polling pass to decide whether a candidate is truly ready for the next daily batch.","complete"
"Q20260629-26","2026-06-29","What should happen after Baidalin v1 completed successfully?","Baidalin v1 produced multiple candidate submissions, including a near-duplicate default output, an SP45 projection, and several SP45+Fleongg blends; two official submissions and Degnonguidi v6 are still unresolved.","submit Baidalin default | audit only default | audit SP45 candidate and score all outputs | ignore until public scores arrive","audit SP45 candidate and score all outputs","The default output is likely an anchor duplicate, while SP45 projection and blends are different model-family combinations. Auditing and scoring them preserves useful options without consuming official slots.","kernel ledger status, output audit PASS/WARN, local surrogate rows, readiness status counts","Updated Baidalin v1 to COMPLETE, downloaded output, audited default submission.csv and sp45_projection_submission.csv. Both passed with WARN only for missing optional local references. Added SP45+Fleongg blend candidates to decision/readiness focus; current readiness: 2 pending official submissions, 1 running kernel, 0 ready, WAIT_OFFICIAL_SCORE 4, HOLD_PENDING_CONTEXT 9.","Hold Baidalin SP45 projection/blend candidates until official pending scores or Degnonguidi v6 resolve; then re-rank before using a daily submission slot.","complete"
"Q20260629-27","2026-06-29","What useful work should continue while submissions and Degnonguidi v6 remain pending?","The latest poll showed no new public scores and Degnonguidi v6 still running, but the current readiness table contained candidates without explicit audit evidence.","wait only | submit an unaudited candidate | audit every readiness candidate and add audit-summary generator | tune blend weights locally","audit every readiness candidate and add audit-summary generator","Waiting wastes preparation time, and tuning weights before public feedback risks overfitting. Completing audit coverage turns the candidate pool into a ready-to-rank batch once external context arrives.","candidate audit JSON files, candidate_audit_summary CSV/report, MISSING_AUDIT count","Added scripts/candidate_audit_summary.py, audited the remaining readiness candidates including all five Baidalin SP45+Fleongg blends, and generated experiments/candidate_audit_summary.csv plus reports/candidate_audit_summary_report.md. Current audit coverage: 22 candidates tracked, MISSING_AUDIT 0, AUDITED_WAIT_CONTEXT 13.","Continue polling; when scores or Degnonguidi v6 resolve, rerun readiness and candidate_audit_summary before choosing official submission slots.","complete"
"Q20260629-28","2026-06-29","How should the next 4-5 official submission slots be prepared while external results are still pending?","The user wants aggressive 4-5 slot usage, but all current promising candidates depend on pending baseline/Fleongg scores or Degnonguidi v6 context.","wait until scores then decide manually | submit the highest audited candidate now | create conditional batch plan with release rules | tune more blend weights","create conditional batch plan with release rules","A conditional plan preserves the aggressive slot target without spending submissions prematurely. It also prevents several similar blends from being chosen without a clear one-dimensional sweep rationale.","next_submission_batch_plan CSV/report, slot roles, release blockers, branch rules","Added scripts/next_submission_batch_plan.py and generated experiments/next_submission_batch_plan.csv plus reports/next_submission_batch_plan.md. Current plan has 5 slots: Baidalin SP45 projection, SP45+Fleongg w0.50/w0.55/w0.60, and plateau_recent_quantile_v1; all are WAIT_EXTERNAL_CONTEXT/do_not_submit_yet.","When external results change, rerun candidate_audit_summary and next_submission_batch_plan, then release only slots whose branch rules are satisfied.","complete"
"Q20260629-29","2026-06-29","How should routine polling avoid stale reports or missed ledger changes?","The workflow now has several dependent reports: kernel ledger, submission ledger, readiness, audit summary, and conditional batch plan. Running them manually risks stale state.","manual command sequence | one safe poll-and-refresh wrapper | submit only after Kaggle page review | wait for automatic Kaggle emails","one safe poll-and-refresh wrapper","A wrapper makes the default loop repeatable while preserving dry-run safety for external ledger changes. It keeps readiness, audit summary, and batch plan aligned after every polling pass.","wrapper command, dry-run sync result, refreshed reports, no official submission side effect","Added scripts/poll_and_refresh_state.py and generated experiments/poll_refresh_summary.csv plus reports/poll_refresh_report.md. Current summary: kernel_updates_detected 0, submission_updates_detected 0, pending_official_submissions 2, running_kernels 1, batch_status WAIT_EXTERNAL_CONTEXT, planned_slots 5, all current actions do_not_submit_yet.","Use poll_and_refresh_state.py as the default polling pass; if updates are detected, apply reviewed ledger changes and rerun before choosing slots.","complete"
"Q20260629-30","2026-06-29","What prevents a planned slot from being submitted too early once a batch plan exists?","The conditional batch plan names 5 plausible slots, but pending official scores and Degnonguidi v6 still make premature submission risky. A hard release gate should make the block explicit.","rely on memory | add release-gate report | remove planned slots until ready | submit one low-risk slot anyway","add release-gate report","A separate release gate lets planning continue while preventing accidental official submissions. It also catches stale dry-run updates and audit readiness issues before a slot is released.","release-gate CSV/report, wrapper integration, current gate counts","Added scripts/submission_release_gate.py and wired it into poll_and_refresh_state.py. Current result: BLOCKED_EXTERNAL_CONTEXT for all 5 planned slots. Also fixed next_submission_batch_plan.py to include future READY/READY_REVIEW_WARNINGS candidates after blockers clear.","Before any official submission, rerun poll_and_refresh_state.py and inspect submission_release_gate_report.md; do not submit while BLOCKED_* or REVIEW_LEDGER_UPDATES appears.","complete"
"Q20260629-31","2026-06-29","How do we know the planning reports agree before releasing official slots?","The workflow now has several generated reports. Even if release gate blocks submission, future state changes could make batch plan, audit summary, readiness, or poll summary inconsistent.","manual inspection | add planning-state validation | rely on release gate only | delete older reports","add planning-state validation","A separate validation pass catches internal contradictions: missing audit/readiness rows, duplicate planned outputs, planned slots over the daily limit, or release gates that fail to block pending context.","validation CSV/report, wrapper integration, zero error failures","Added scripts/validate_planning_state.py and wired it into poll_and_refresh_state.py. Current validation: PASS, 17 checks passed, 0 error failures. Poll summary now includes planning_validation_status_counts and planning_validation_error_failures.","Before any official submission, require both release gate and planning validation to be clear after the latest poll refresh.","complete"
"Q20260629-32","2026-06-29","How should the workflow react once a pending public score or reference-kernel result appears?","The release gate and validation prevent premature submission, but the next action after each possible score/kernel outcome should be explicit before the result arrives.","decide manually after score | add result-branch matrix | always release current 5-slot plan | wait for all blockers no matter what","add result-branch matrix","A branch matrix turns pending results into predefined promote/block/downweight/insert/defer actions. It reduces ad hoc leaderboard chasing and makes slot release auditable.","result_branch_matrix CSV/report, wrapper integration, branch rows for baseline, Fleongg, Degnonguidi, and no-change paths","Added scripts/result_branch_matrix.py and wired it into poll_and_refresh_state.py. Current matrix has 7 branch rules: baseline valid/failed, Fleongg competitive/weak, Degnonguidi clean/error-defer, and no external change. Current state follows B07_no_external_change.","When a pending result resolves, apply ledger updates, rerun poll_and_refresh_state.py, then use result_branch_matrix plus release gate before any official submission.","complete"
